Author,Quote
,"""We live in a time where intelligent people are being silenced to that stupid people won't be offended."""
Mahatma Gandhi,"""It is easy enough to be friendly to one's friends. But to befriend the one who regards himself as your enemy is the quintessence of true religion. The other is mere business."""
Uday Kotak,"""The trouble with opportunity is, it never announces when it comes. It's only after it's gone that you'd realize that you missed it."""
James Clear,"Move slowly, but never backwards."
Terrence McKenna,Only psychos and shamans create their own reality.
Rumi,"""I earched for God, and found only myself. I searched for myself, and found only God."""
Henry A. Kissinger,"""A leader does not deserve the name unless he is willing occasionally to stand alone."""
Joseph Fort Newton,"""Every man has a train of thought on which he travels when he is alone. The dignity and nobility of his life, as well as his happiness, depend upon the direction in which that train is going, the baggage it carries and the scenery through which it travels."""
Paulo Coelho,"""If you are never alone, you cannot know yourself."""
Marcus Aurelius,"""You are a little soul carrying about a corpse."""
Friedric Nietzsche,"""All truly great thoughts are conceived while walking."""
Voltaire,"If you want to know who controls you, look at who you are not allowed to criticize."
Power Stewart,"""The only valid censorship of ideas is the right of people not to listen."""
Ron Paul,We don't have the freedom of speech to talk about the weather. We have the first amendment so we can say very controversial things.
Sir Winston Churchill,"""Some people's idea of free speech is that they are free to say what they like, but if anyone says anythin back, that is an outrage."""
Eleanor Roosevelt,No one can make you feel inferior without your consent.
George Santayana,Those who cannot remember the past are condemned to repeat it.
Nikola Tesla,"""I don't care that they stole my idea I care that they don't have any of their own."""
Epicurus,Do not spoil what you have by desiring what you do not have. Remember that what you now have was once among the things you only hoped for.
William James,"""Could the young but realize how soon they will become mere walking bundles of habits, they would give more heed to their conduct while in the plastic state."""
Margaret Meade,Always remember that you are absolutely unique. Just like everyone else.
Lao Tzu,"What the caterpillar calls the end, the rest of the world calls a butterfly."
Lenin,"There are decades when nothing happens, and there are weeks when decades happen."
John F. Kennedy,"""Mankind must put an end to war or war will put an end to mankind."""
Voltaire,"""Common sense is not so common."""
Paul Coelho,"Be happy, it drives your enemies mad."
,"""The gods envy us, for we are mortal."""
Roy Baumeister,"""Life is change that yearns for stability."""
Carl Jung,"""Is the struggle with this mask worthwhile?"""
Confucius,"""Respect yourself and others will respect you."""
Vincent van Gogh,"""I would rather die of passion than of boredom."
Mark Twain,"""Worrying is like paying a debt you don't owe."""
Søren Kierkegaard,"Life is not a problem to be solved, but a reality to be experienced."
Marcus Tullius Cicero,"""More is lost by indecision than wrong decision."""
,"""Is it really hard or are you doing it for the first time?"
Oscar Wilde,Always forgive your enemies; nothing annoys them so much.
Thomas Jefferson,"I find that the harder I work, the more luck I seem to have"
John D. Rockefeller Jr,The secret of success is to do the common thing uncommonly well
Marcus Aurelius,"""The best revenge is to be unlike him who performed the injury."""
Frank Herbert,The only rule governing creativity is the act of creation itself.
Albert Einstein,"""Avoid negative people. They have a problem with every solution."""
Friedric Nietzsche,"""When we are tired, we are attacked by ideas we conquered long ago."""
Terrence McKenna,"""If you don't have a plan, you become part of somebody else's plan."""
Terrence McKenna,"Notice that when I speak, if your internal dictionary matches my internal dictionary, that my thoughts cross through the air as an acoustical pressure wave and are reconstructed inside your cerebral cortex as your thought, your understanding of my words. Telepahy exists, it's just that the carrier wave is small mouth noises."
Aristotle,"""The one exclusive sign of thorough knowledge is the power of teaching."""
Sir Francis Bacon,"""There is no exquisite beauty without some strangeness in the proportion."""
Friedric Nietzsche,"""Thoughts are the shadows of our feelings - always darker, emptier, and simpler."""
Friedric Nietzsche,"""I'm not upset that you lied to me, I'm upset that from now on I can't believe you."""
Paolo Coelho,"When we strive to become better than we are, everything around us becomes better too."
